id_,class_,Fx_mean,Fx_median,Fx_std,Fy_mean,Fy_median,Fy_std,Fz_mean,Fz_median,Fz_std,Tx_mean,Tx_median,Tx_std,Ty_mean,Ty_median,Ty_std,Tz_mean,Tz_median,Tz_std,class-oridnal_mean
0,normal,0.43034330011074196,0.43023255813953487,0.0004289018102112327,0.5978494623655913,0.597623089983022,0.000597395204201186,0.9445618153364632,0.9448356807511737,0.0007311888534964329,0.4927344133529701,0.49263622974963184,0.0002591058728089105,0.5175086875167068,0.5172413793103449,0.0003912991471325184,0.5269230769230769,0.5269230769230769,0.0,2.0
1,normal,0.43045404208194904,0.43023255813953487,0.001645233225701037,0.5981890209394454,0.597623089983022,0.003778259017074303,0.9443270735524257,0.9448356807511737,0.0026326038286271385,0.49224349533627887,0.49263622974963184,0.002608935159749738,0.516974071103983,0.5172413793103449,0.0017056334390443836,0.5258974358974359,0.5269230769230769,0.001760529646988707,2.0
2,normal,0.4307862679955703,0.43023255813953487,0.0010252714283195605,0.5984153933220147,0.599320882852292,0.002712423214662097,0.9437402190923319,0.943661971830986,0.0028045316751598754,0.491899852724595,0.4911634756995582,0.0020070254605868746,0.5164929163325315,0.5164394546912591,0.0014682845492127218,0.5258974358974359,0.5269230769230769,0.0017605296469887003,2.0
3,normal,0.4312292358803987,0.4318936877076412,0.0016372271770916421,0.5995472552348614,0.601018675721562,0.0035069458709291986,0.9443661971830987,0.9448356807511737,0.0023284782565320423,0.490279823269514,0.4904270986745214,0.002686947409336834,0.5171879176690725,0.5172413793103449,0.002216287418927562,0.5256410256410257,0.5269230769230769,0.002373897691724497,2.0
4,normal,0.4308970099667774,0.43023255813953487,0.0015120581226458546,0.5988681380871533,0.599320882852292,0.0030416203565112876,0.9434272300469484,0.9424882629107981,0.0029409715610171903,0.4896907216494846,0.48895434462444776,0.0021013027935449383,0.5157979149959904,0.5156375300721733,0.0016930189668380076,0.5264102564102564,0.5269230769230769,0.00246130951316224,2.0
5,normal,0.43023255813953487,0.43023255813953487,0.0021749291385647117,0.602716468590832,0.6027164685908319,0.0024010417018218854,0.9426838810641628,0.943075117370892,0.0018513729124806301,0.4873834069710359,0.4874815905743741,0.0013014949951230398,0.5154236835070837,0.5148356054530874,0.0017270439019343776,0.5261538461538462,0.5269230769230769,0.002156199656082256,2.0
6,normal,0.43045404208194904,0.43023255813953487,0.001385065428293675,0.597623089983022,0.597623089983022,0.0015718507636206522,0.9423708920187793,0.9413145539906104,0.0031851194200953376,0.48959253804614633,0.4896907216494846,0.0015210538423985887,0.5152632985832665,0.5148356054530874,0.001571055111526033,0.5266666666666667,0.5269230769230769,0.0017605296469886988,2.0
7,normal,0.4307862679955703,0.43023255813953487,0.001952058642501683,0.5995472552348614,0.599320882852292,0.0022105485455748623,0.942566510172144,0.943075117370892,0.0026512265825511284,0.48782523318605797,0.4874815905743741,0.0017573415299557095,0.5157444533547181,0.5156375300721733,0.002030235554549203,0.5269230769230769,0.5269230769230769,0.0041117114140372816,2.0
8,normal,0.4307862679955703,0.43023255813953487,0.0018483343530371716,0.6006791171477079,0.601018675721562,0.003221335477251329,0.9422926447574336,0.9419014084507042,0.0024466237905891868,0.48659793814432994,0.4867452135493373,0.00204904196661732,0.5149959903769046,0.5148356054530874,0.001293064594755174,0.5276923076923077,0.5269230769230769,0.004162790532939696,2.0
9,normal,0.43034330011074196,0.43023255813953487,0.0004289018102112333,0.5977362761743067,0.597623089983022,0.0004383682338661504,0.9448748043818467,0.9448356807511737,0.00041298799914846115,0.4929798723613157,0.49263622974963184,0.0003802634605996468,0.5175086875167068,0.5172413793103449,0.0004949586205680453,0.5269230769230769,0.5269230769230769,0.0,2.0
10,normal,0.43045404208194904,0.43023255813953487,0.0016452332257010378,0.5980758347481606,0.597623089983022,0.004467424906276679,0.9445618153364632,0.9448356807511737,0.0029247554139857717,0.49243986254295535,0.4911634756995582,0.0027051447303837934,0.5172948409516173,0.5172413793103449,0.0014043224310680065,0.5261538461538462,0.5269230769230769,0.001592458983097738,2.0
11,normal,0.4312292358803987,0.43023255813953487,0.0023323516611875954,0.5979626485568761,0.599320882852292,0.003526461580145684,0.9439749608763693,0.9442488262910799,0.0031902641810320795,0.49194894452626414,0.491899852724595,0.0021820818705078765,0.5164929163325315,0.5164394546912591,0.002043765596900127,0.5258974358974359,0.5269230769230769,0.002283141691171769,2.0
12,normal,0.43045404208194904,0.43023255813953487,0.00197214896911849,0.5996604414261459,0.601018675721562,0.0052604188063937836,0.9438967136150235,0.943075117370892,0.003127444271003343,0.490279823269514,0.4904270986745214,0.0030640970729645944,0.5168136861801658,0.5164394546912591,0.0023646903863727272,0.5261538461538462,0.5269230769230769,0.0021561996560822533,2.0
13,normal,0.4313399778516057,0.4318936877076412,0.0017384322872833426,0.5977362761743067,0.597623089983022,0.0028312712659857154,0.9431533646322379,0.943075117370892,0.0027424441215169455,0.4907216494845361,0.4904270986745214,0.0020224051909443082,0.5161721464848971,0.5164394546912591,0.0019564957356626774,0.5251282051282051,0.5269230769230769,0.001986145305747402,2.0
14,normal,0.43045404208194904,0.43023255813953487,0.0020696774191992424,0.6004527447651387,0.601018675721562,0.0031217939326231613,0.9442097026604069,0.943661971830986,0.0030207467914532687,0.4885616102110948,0.48821796759941094,0.0016668507636661484,0.5157444533547181,0.5156375300721733,0.001865146994812983,0.5258974358974359,0.5269230769230769,0.002283141691171771,2.0
15,normal,0.42978959025470653,0.43023255813953487,0.0013269246457109484,0.6011318619128467,0.601018675721562,0.0018672046324000016,0.9422143974960877,0.9424882629107981,0.0025471170541705676,0.48772704958271973,0.4874815905743741,0.0017081649426774195,0.5146217588879979,0.5148356054530874,0.000932573497406502,0.5256410256410257,0.5269230769230769,0.0023738976917244787,2.0
16,normal,0.43034330011074196,0.43023255813953487,0.0013269246457109614,0.5990945104697227,0.599320882852292,0.002301805959717756,0.9419796557120501,0.9413145539906104,0.002282238403813593,0.4884143348060874,0.48821796759941094,0.0012279961529201688,0.515049452018177,0.5148356054530874,0.00119201820843174,0.528974358974359,0.5307692307692308,0.002858551357527714,2.0
17,normal,0.4308970099667774,0.43023255813953487,0.001512058122645856,0.6006791171477079,0.601018675721562,0.002811812126352571,0.942018779342723,0.9419014084507042,0.002071283912365161,0.4864506627393225,0.48600883652430044,0.001755871566059887,0.5154771451483561,0.5148356054530874,0.0019217529351675572,0.5253846153846154,0.5269230769230769,0.0031849179661954667,2.0
18,collision,0.4428571428571429,0.4335548172757475,0.03279145982806387,0.6045274476513866,0.6027164685908319,0.02731937120951137,0.9442488262910799,0.9442488262910799,0.00441396598963389,0.4819342169857634,0.4904270986745214,0.03863886569147938,0.5286287089013633,0.5188452285485164,0.030653786783478548,0.5284615384615384,0.5269230769230769,0.0037908106177275695,0.0
19,collision,0.44905869324473974,0.43023255813953487,0.08046911240126223,0.6101867572156198,0.599320882852292,0.04650836989681202,0.9460093896713616,0.943661971830986,0.009501658642456681,0.48276877761413844,0.4911634756995582,0.03401802269449745,0.5368083400160385,0.5148356054530874,0.07828338209102094,0.5294871794871795,0.5269230769230769,0.0123921097611995,0.0
